model,mode,n,unsafe_state_change,unintended_drift,identity_error,status_error,order_error,constraint_error,operation_error
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,360,0.5555555555555556,0.8333333333333334,0.8333333333333334,4.166666666666666,5.555555555555555,10.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,360,1.9444444444444444,0.0,0.0,2.5,3.3333333333333335,9.444444444444445,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,360,7.222222222222221,5.277777777777778,0.8333333333333334,16.11111111111111,15.833333333333332,12.5,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,360,6.944444444444445,3.6111111111111107,0.0,15.277777777777779,12.777777777777777,9.166666666666666,0.0
Qwen/Qwen3-32B,line_patch,360,7.222222222222221,4.444444444444445,0.0,11.11111111111111,8.055555555555555,9.166666666666666,0.0
Qwen/Qwen3-32B,rewrite,360,21.944444444444443,5.833333333333333,0.8333333333333334,14.444444444444443,13.88888888888889,19.166666666666668,0.0
google/gemma-2-2b-it,line_patch,360,11.11111111111111,0.0,0.0,44.166666666666664,79.72222222222223,43.333333333333336,30.0
google/gemma-2-2b-it,rewrite,360,1.9444444444444444,0.8333333333333334,0.0,98.05555555555556,100.0,98.05555555555556,96.38888888888889
meta-llama/Llama-3.3-70B-Instruct,line_patch,360,2.7777777777777777,2.7777777777777777,0.0,9.722222222222223,14.722222222222223,12.5,0.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,360,3.0555555555555554,4.444444444444445,1.1111111111111112,10.833333333333334,9.444444444444445,13.055555555555557,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,360,6.944444444444445,11.38888888888889,3.6111111111111107,25.833333333333336,34.72222222222222,16.666666666666664,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,360,9.722222222222223,29.444444444444446,15.833333333333332,34.72222222222222,54.72222222222223,19.166666666666668,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,360,0.0,0.2777777777777778,0.2777777777777778,12.777777777777777,9.166666666666666,12.777777777777777,0.2777777777777778
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,360,0.0,0.0,0.0,15.0,8.333333333333332,11.944444444444445,0.0
