model,mode,n,provider_ok,json_valid,schema_valid,status_correct,order_exact,constraints_exact,state_preserved_when_blocked,semantic_ok,unsafe_state_change,unintended_drift,identity_error,operation_executable,mean_latency_s,mean_prompt_tokens,mean_completion_tokens
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,360,100.0,100.0,100.0,95.83333333333334,94.44444444444444,90.0,26.944444444444443,83.88888888888889,0.5555555555555556,0.8333333333333334,0.8333333333333334,100.0,2.243307557370928,1572.888888888889,122.56944444444444
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,360,100.0,100.0,100.0,97.5,96.66666666666667,90.55555555555556,25.27777777777778,86.11111111111111,1.9444444444444444,0.0,0.0,100.0,1.597603389289644,1324.4444444444443,134.59166666666667
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,360,100.0,100.0,100.0,83.88888888888889,84.16666666666667,87.5,28.055555555555557,70.0,7.222222222222221,5.277777777777778,0.8333333333333334,100.0,1.863930700222651,1572.888888888889,122.73611111111111
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,360,100.0,100.0,100.0,84.72222222222221,87.22222222222223,90.83333333333333,25.0,74.16666666666667,6.944444444444445,3.6111111111111107,0.0,100.0,2.1466796735922498,1324.4444444444443,144.09444444444443
Qwen/Qwen3-32B,line_patch,360,100.0,100.0,100.0,88.88888888888889,91.94444444444444,90.83333333333333,22.5,80.83333333333333,7.222222222222221,4.444444444444445,0.0,100.0,6.428410108221902,2127.8888888888887,115.63333333333334
Qwen/Qwen3-32B,rewrite,360,100.0,100.0,100.0,85.55555555555556,86.11111111111111,80.83333333333333,20.0,64.72222222222223,21.944444444444443,5.833333333333333,0.8333333333333334,100.0,4.802444733513726,1673.4444444444443,115.83333333333333
google/gemma-2-2b-it,line_patch,360,100.0,70.0,70.0,55.833333333333336,20.27777777777778,56.666666666666664,69.44444444444444,0.0,11.11111111111111,0.0,0.0,70.0,1.915273615386751,1691.9277777777777,300.77777777777777
google/gemma-2-2b-it,rewrite,360,100.0,3.6111111111111107,3.6111111111111107,1.9444444444444444,0.0,1.9444444444444444,0.0,0.0,1.9444444444444444,0.8333333333333334,0.0,3.6111111111111107,5.183358809020784,1419.7611111111112,877.9666666666667
meta-llama/Llama-3.3-70B-Instruct,line_patch,360,100.0,100.0,100.0,90.27777777777779,85.27777777777777,87.5,27.77777777777778,72.77777777777777,2.7777777777777777,2.7777777777777777,0.0,100.0,4.855136983924442,2145.8888888888887,85.13055555555556
meta-llama/Llama-3.3-70B-Instruct,rewrite,360,100.0,100.0,100.0,89.16666666666667,90.55555555555556,86.94444444444444,27.22222222222222,76.66666666666667,3.0555555555555554,4.444444444444445,1.1111111111111112,100.0,5.360367617342207,1693.4444444444443,113.31944444444444
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,360,100.0,100.0,100.0,74.16666666666667,65.27777777777779,83.33333333333334,38.05555555555556,48.05555555555556,6.944444444444445,11.38888888888889,3.6111111111111107,100.0,6.060831291145749,2125.8888888888887,138.53055555555557
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,360,100.0,100.0,100.0,65.27777777777779,45.27777777777778,80.83333333333333,31.944444444444443,25.27777777777778,9.722222222222223,29.444444444444446,15.833333333333332,100.0,6.155483270353741,1673.4444444444443,149.84722222222223
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,360,100.0,99.72222222222223,99.72222222222223,87.22222222222223,90.83333333333333,87.22222222222223,36.11111111111111,78.33333333333333,0.0,0.2777777777777778,0.2777777777777778,99.72222222222223,5.611106114917331,1576.888888888889,112.64722222222223
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,360,100.0,100.0,100.0,85.0,91.66666666666666,88.05555555555556,37.77777777777778,79.72222222222223,0.0,0.0,0.0,100.0,6.160786516136593,1329.4444444444443,152.88333333333333
