model,mode,category,n,semantic_ok,unsafe_state_change,unintended_drift,identity_error,authorized_write_precision,authorized_write_recall,mean_collateral_writes
Qwen/Qwen2.5-7B-Instruct-local,json_patch,add_item,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,json_patch,constraint_add_safe,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,json_patch,constraint_new_conflict,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,json_patch,modifier_add_scoped,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,json_patch,modifier_reversal,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,json_patch,quantity_decrease,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,json_patch,quantity_increase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,json_patch,remove_scoped_duplicate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,json_patch,replace_item,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,json_patch,size_change_scoped,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,json_patch,stale_reference,1,100.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,json_patch,unavailable_add,1,0.0,100.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,add_item,1,100.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,constraint_add_safe,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,constraint_new_conflict,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,modifier_add_scoped,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,modifier_reversal,1,0.0,0.0,0.0,0.0,50.0,100.0,1.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,quantity_decrease,1,100.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,quantity_increase,1,100.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,remove_scoped_duplicate,1,100.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,replace_item,1,100.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,size_change_scoped,1,100.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,stale_reference,1,100.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,line_patch,unavailable_add,1,0.0,100.0,100.0,100.0,0.0,0.0,1.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,add_item,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,constraint_add_safe,1,0.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,constraint_new_conflict,1,0.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,modifier_add_scoped,1,0.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,modifier_reversal,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,quantity_decrease,1,0.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,quantity_increase,1,0.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,remove_scoped_duplicate,1,0.0,0.0,100.0,100.0,0.0,0.0,3.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,replace_item,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,size_change_scoped,1,0.0,0.0,0.0,0.0,100.0,100.0,0.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,stale_reference,1,0.0,100.0,100.0,100.0,0.0,0.0,1.0
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,unavailable_add,1,100.0,0.0,0.0,0.0,100.0,100.0,0.0
