model,mode,category,n,semantic_ok,unsafe_state_change,unintended_drift,identity_error
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,add_item,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,constraint_add_safe,10,70.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,constraint_new_conflict,10,0.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,modifier_add_scoped,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,modifier_reversal,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,quantity_decrease,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,quantity_increase,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,remove_scoped_duplicate,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,replace_item,10,80.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,size_change_scoped,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,stale_reference,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,unavailable_add,10,60.0,40.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,constraint_add_safe,10,70.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,constraint_new_conflict,10,0.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,modifier_add_scoped,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,modifier_reversal,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_decrease,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate,10,90.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,replace_item,10,70.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,size_change_scoped,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,stale_reference,10,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,unavailable_add,10,60.0,40.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,add_item,10,80.0,0.0,10.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,constraint_add_safe,10,20.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,constraint_new_conflict,10,0.0,0.0,0.0,0.0
