model,metric,n,rewrite_rate,line_patch_rate,diff_patch_minus_rewrite,ci_low,ci_high,rewrite_only_successes,patch_only_successes,mcnemar_p
Qwen/Qwen3-235B-A22B-Instruct-2507,semantic_ok,120,82.5,84.16666666666667,1.6666666666666667,-2.5,5.833333333333333,2,4,0.6875
Qwen/Qwen3-30B-A3B-Instruct-2507,semantic_ok,120,70.0,67.5,-2.5,-10.0,5.0,11,8,0.6476058959960938
google/gemma-2-2b-it,semantic_ok,120,0.0,9.166666666666666,9.166666666666666,4.166666666666667,15.0,0,11,0.0009765625
meta-llama/Meta-Llama-3.1-8B-Instruct,semantic_ok,120,23.333333333333332,40.0,16.666666666666668,5.0,27.5,16,36,0.0077874363057435225
Qwen/Qwen3-235B-A22B-Instruct-2507,unsafe_state_change,120,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0,0,1.0
Qwen/Qwen3-30B-A3B-Instruct-2507,unsafe_state_change,120,6.666666666666667,5.833333333333333,-0.8333333333333334,-2.5,0.0,1,0,1.0
google/gemma-2-2b-it,unsafe_state_change,120,1.6666666666666667,9.166666666666666,7.5,2.5,12.5,1,10,0.01171875
meta-llama/Meta-Llama-3.1-8B-Instruct,unsafe_state_change,120,8.333333333333334,10.0,1.6666666666666667,-3.3333333333333335,6.666666666666667,4,6,0.75390625
Qwen/Qwen3-235B-A22B-Instruct-2507,unintended_drift,120,0.0,0.0,0.0,0.0,0.0,0,0,1.0
Qwen/Qwen3-30B-A3B-Instruct-2507,unintended_drift,120,5.0,6.666666666666667,1.6666666666666667,-2.5,5.833333333333333,2,4,0.6875
google/gemma-2-2b-it,unintended_drift,120,0.0,0.0,0.0,0.0,0.0,0,0,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,unintended_drift,120,31.666666666666668,15.833333333333334,-15.833333333333334,-25.0,-6.666666666666667,27,8,0.001878225477412343
