model,metric,comparison,mode_a,mode_b,n_cases,n_clusters,cluster_unit,mode_a_rate,mode_b_rate,diff_b_minus_a,cluster_ci_low,cluster_ci_high,mode_a_only_successes,mode_b_only_successes,case_level_mcnemar_p_descriptive,cluster_sign_flip_p,cluster_sign_flip_q_bh
NousResearch/Hermes-4-405B,semantic_ok,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,82.5925925925926,88.61111111111111,6.1631944444444455,-0.46296296296296297,12.962962962962964,46,111,2.215948407640851e-07,0.0696465176741163,0.12188140592970352
NousResearch/Hermes-4-405B,semantic_ok,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,82.5925925925926,0.0,-82.8125,-89.58333333333333,-75.52083333333333,892,0,6.057227193173887e-269,4.999750012499375e-05,4.999750012499375e-05
NousResearch/Hermes-4-405B,semantic_ok,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,88.61111111111111,0.0,-88.97569444444446,-94.29976851851852,-83.01504629629629,957,0,1.6418147205193505e-288,4.999750012499375e-05,4.999750012499375e-05
NousResearch/Hermes-4-70B,semantic_ok,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,74.07407407407408,68.61111111111111,-5.41087962962963,-13.512731481481483,2.5752314814814814,144,85,0.00011701443932289667,0.1983900804959752,0.23145509391197105
NousResearch/Hermes-4-70B,semantic_ok,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,74.07407407407408,0.0,-73.8425925925926,-82.23379629629629,-65.33564814814814,800,0,2.999393627791262e-241,4.999750012499375e-05,4.999750012499375e-05
NousResearch/Hermes-4-70B,semantic_ok,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,68.61111111111111,0.0,-68.43171296296296,-76.64930555555556,-59.80902777777777,741,0,1.7290327071306454e-223,4.999750012499375e-05,4.999750012499375e-05
Qwen/Qwen3-235B-A22B-Instruct-2507,semantic_ok,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,80.18518518518519,85.92592592592592,5.3819444444444455,-0.40509259259259256,11.805555555555557,45,107,5.289864980538542e-07,0.08909554522273887,0.12473376331183442
Qwen/Qwen3-235B-A22B-Instruct-2507,semantic_ok,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,80.18518518518519,0.0,-80.43981481481482,-87.55787037037038,-72.74305555555556,866,0,4.064936359238081e-261,4.999750012499375e-05,4.999750012499375e-05
Qwen/Qwen3-235B-A22B-Instruct-2507,semantic_ok,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,85.92592592592592,0.0,-85.82175925925925,-91.37731481481482,-79.6875,928,0,8.814425663402488e-280,4.999750012499375e-05,4.999750012499375e-05
Qwen/Qwen3-32B,semantic_ok,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,65.46296296296296,85.27777777777777,20.25462962962963,12.442129629629632,28.35648148148148,33,247,1.0944860488598124e-41,4.999750012499375e-05,0.00034998250087495624
Qwen/Qwen3-32B,semantic_ok,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,65.46296296296296,0.0,-65.27777777777777,-73.35069444444444,-56.944444444444436,707,0,2.9704555723361872e-213,4.999750012499375e-05,4.999750012499375e-05
Qwen/Qwen3-32B,semantic_ok,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,85.27777777777777,0.0,-85.5324074074074,-91.34837962962962,-79.16666666666667,921,0,1.1282464849155185e-277,4.999750012499375e-05,4.999750012499375e-05
nvidia/Cosmos3-Super-Reasoner,semantic_ok,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,69.25925925925925,81.94444444444444,12.731481481481481,6.684027777777779,19.41550925925926,21,158,3.54051918846311e-27,9.99950002499875e-05,0.00034998250087495624
nvidia/Cosmos3-Super-Reasoner,semantic_ok,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,69.25925925925925,0.0,-68.80787037037037,-77.25694444444444,-59.69328703703704,748,0,1.3508068024458167e-225,4.999750012499375e-05,4.999750012499375e-05
nvidia/Cosmos3-Super-Reasoner,semantic_ok,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,81.94444444444444,0.0,-81.53935185185185,-88.16550925925925,-74.21875,885,0,7.753250807262575e-267,4.999750012499375e-05,4.999750012499375e-05
openai/gpt-oss-120b,semantic_ok,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,91.29629629629629,91.85185185185185,0.11574074074074076,-3.9641203703703702,4.369212962962963,39,45,0.5856467947212246,0.9687957763671875,0.9687957763671875
openai/gpt-oss-120b,semantic_ok,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,91.29629629629629,0.0,-91.46412037037038,-95.77546296296295,-86.45833333333333,986,0,3.0581182251113476e-297,4.999750012499375e-05,4.999750012499375e-05
openai/gpt-oss-120b,semantic_ok,typed_patch_vs_json_patch,line_patch,json_patch,1080,96,semantic_program_id,91.85185185185185,0.0,-91.57986111111113,-96.18055555555554,-86.28472222222221,992,0,4.778309726736481e-299,4.999750012499375e-05,4.999750012499375e-05
zai-org/GLM-5.1,semantic_ok,rewrite_ids_vs_typed_patch,rewrite_with_ids,line_patch,1080,96,semantic_program_id,79.44444444444444,85.74074074074075,6.25,0.7233796296296297,12.644675925925926,31,99,1.7803381639606356e-09,0.0416259765625,0.09712727864583333
zai-org/GLM-5.1,semantic_ok,rewrite_ids_vs_json_patch,rewrite_with_ids,json_patch,1080,96,semantic_program_id,79.44444444444444,0.0,-79.51388888888889,-85.85069444444446,-72.59837962962963,858,0,1.0406237079649487e-258,4.999750012499375e-05,4.999750012499375e-05
