model,mode,n,unsafe_state_change,unintended_drift,identity_error,status_error,order_error,constraint_error,operation_error
NousResearch/Hermes-4-405B,json_patch,1080,0.0,0.0,0.0,6.203703703703703,83.33333333333334,17.685185185185183,100.0
NousResearch/Hermes-4-405B,line_patch,1080,1.9444444444444444,2.2222222222222223,2.2222222222222223,3.7962962962962963,11.11111111111111,4.2592592592592595,0.0
NousResearch/Hermes-4-405B,rewrite_with_ids,1080,1.9444444444444444,0.0,0.0,6.111111111111111,16.296296296296298,4.166666666666666,0.0
NousResearch/Hermes-4-70B,json_patch,1080,0.0,0.0,0.0,33.24074074074074,83.33333333333334,16.666666666666664,100.0
NousResearch/Hermes-4-70B,line_patch,1080,1.2037037037037037,1.2037037037037037,1.2037037037037037,19.35185185185185,26.851851851851855,8.703703703703704,0.0
NousResearch/Hermes-4-70B,rewrite_with_ids,1080,1.1111111111111112,0.0,0.0,23.055555555555557,17.77777777777778,3.3333333333333335,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,json_patch,1080,1.6666666666666667,0.0,0.0,6.481481481481481,83.33333333333334,17.5,100.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,1080,1.2962962962962963,1.3888888888888888,1.3888888888888888,8.24074074074074,13.333333333333334,4.62962962962963,0.3703703703703704
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite_with_ids,1080,2.5925925925925926,0.0925925925925926,0.0,6.5740740740740735,17.962962962962965,4.074074074074074,0.0
Qwen/Qwen3-32B,json_patch,1080,5.0,0.0,0.0,11.481481481481481,83.33333333333334,17.314814814814813,100.0
Qwen/Qwen3-32B,line_patch,1080,5.37037037037037,2.9629629629629632,2.9629629629629632,10.555555555555555,10.185185185185185,4.537037037037037,0.0
Qwen/Qwen3-32B,rewrite_with_ids,1080,14.537037037037038,12.407407407407407,8.055555555555555,14.537037037037038,26.574074074074073,6.5740740740740735,0.0
nvidia/Cosmos3-Super-Reasoner,json_patch,1080,0.0,0.0,0.0,23.425925925925924,83.33333333333334,18.98148148148148,100.0
nvidia/Cosmos3-Super-Reasoner,line_patch,1080,0.2777777777777778,0.1851851851851852,0.0,15.833333333333332,10.092592592592593,2.4074074074074074,0.0
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,1080,1.2037037037037037,1.3888888888888888,1.2037037037037037,19.537037037037035,26.01851851851852,4.722222222222222,0.0
openai/gpt-oss-120b,json_patch,1080,0.8333333333333334,0.0,0.0,4.2592592592592595,83.33333333333334,18.24074074074074,100.0
openai/gpt-oss-120b,line_patch,1080,1.574074074074074,1.574074074074074,1.574074074074074,3.6111111111111107,7.592592592592593,7.037037037037037,0.0925925925925926
openai/gpt-oss-120b,rewrite_with_ids,1080,1.2037037037037037,0.6481481481481481,0.6481481481481481,2.314814814814815,7.592592592592593,4.2592592592592595,0.0
zai-org/GLM-5.1,json_patch,1007,0.0,0.0,0.0,4.270109235352533,88.08341608738827,16.683217477656406,100.0
zai-org/GLM-5.1,line_patch,1007,0.09930486593843098,0.09930486593843098,0.09930486593843098,5.06454816285998,8.04369414101291,7.944389275074479,3.6742800397219466
zai-org/GLM-5.1,rewrite_with_ids,1007,0.09930486593843098,0.09930486593843098,0.09930486593843098,4.568023833167826,14.399205561072492,5.362462760675273,4.07149950347567
