model,mode,n_cases,replicates_expected,complete_replicate_sets,all_replicates_provider_ok,all_replicates_semantic_ok,any_replicate_semantic_ok,semantic_outcome_agreement,exact_response_agreement
NousResearch/Hermes-4-405B,json_patch,360,3,100.0,100.0,0.0,0.0,100.0,49.44444444444444
NousResearch/Hermes-4-405B,line_patch,360,3,100.0,100.0,87.5,89.44444444444444,98.05555555555556,55.00000000000001
NousResearch/Hermes-4-405B,rewrite_with_ids,360,3,100.0,100.0,81.94444444444444,83.05555555555556,98.88888888888889,75.55555555555556
NousResearch/Hermes-4-70B,json_patch,360,3,100.0,100.0,0.0,0.0,100.0,16.666666666666664
NousResearch/Hermes-4-70B,line_patch,360,3,100.0,100.0,65.27777777777779,71.66666666666667,93.61111111111111,32.22222222222222
NousResearch/Hermes-4-70B,rewrite_with_ids,360,3,100.0,100.0,73.33333333333333,74.72222222222223,98.61111111111111,43.333333333333336
Qwen/Qwen3-235B-A22B-Instruct-2507,json_patch,360,3,100.0,100.0,0.0,0.0,100.0,6.666666666666667
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,360,3,100.0,100.0,82.5,89.44444444444444,93.05555555555556,6.388888888888888
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite_with_ids,360,3,100.0,100.0,78.33333333333333,81.94444444444444,96.38888888888889,47.77777777777778
Qwen/Qwen3-32B,json_patch,360,3,100.0,100.0,0.0,0.0,100.0,67.77777777777779
Qwen/Qwen3-32B,line_patch,360,3,100.0,100.0,84.72222222222221,85.83333333333333,98.88888888888889,74.16666666666667
Qwen/Qwen3-32B,rewrite_with_ids,360,3,100.0,100.0,64.16666666666667,66.94444444444444,97.22222222222221,48.888888888888886
nvidia/Cosmos3-Super-Reasoner,json_patch,360,3,100.0,100.0,0.0,0.0,100.0,35.833333333333336
nvidia/Cosmos3-Super-Reasoner,line_patch,360,3,100.0,100.0,81.38888888888889,82.77777777777777,98.61111111111111,62.77777777777778
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,360,3,100.0,100.0,68.88888888888889,69.44444444444444,99.44444444444444,49.44444444444444
openai/gpt-oss-120b,json_patch,360,3,100.0,100.0,0.0,0.0,100.0,6.944444444444445
openai/gpt-oss-120b,line_patch,360,3,100.0,100.0,89.72222222222223,94.44444444444444,95.27777777777777,2.2222222222222223
openai/gpt-oss-120b,rewrite_with_ids,360,3,100.0,100.0,88.05555555555556,94.16666666666667,93.88888888888889,35.55555555555556
zai-org/GLM-5.1,json_patch,360,3,79.72222222222223,79.72222222222223,0.0,0.0,79.72222222222223,4.166666666666666
zai-org/GLM-5.1,line_patch,360,3,79.72222222222223,79.72222222222223,72.22222222222221,93.88888888888889,76.66666666666667,3.888888888888889
zai-org/GLM-5.1,rewrite_with_ids,360,3,79.72222222222223,79.72222222222223,65.55555555555556,87.77777777777777,76.66666666666667,21.38888888888889
