model,mode,n,provider_ok,json_valid,schema_valid,status_correct,order_exact,constraints_exact,state_preserved_when_blocked,semantic_ok,unsafe_state_change,unintended_drift,identity_error,identity_fidelity,identity_observable_n,operation_executable,authorized_write_precision,authorized_write_recall,mean_collateral_writes,mean_latency_s,total_latency_s,mean_prompt_tokens,mean_completion_tokens,semantic_successes,total_estimated_usd,seconds_per_semantic_success,cost_per_semantic_success_usd
NousResearch/Hermes-4-405B,json_patch,1080,100.0,98.98148148148148,98.98148148148148,93.7962962962963,16.666666666666664,82.31481481481482,66.66666666666666,0.0,0.0,0.0,0.0,98.98148148148148,1080,0.0,16.83816651075772,16.83816651075772,0.0,7.209739278201703,7786.51842045784,1214.0,222.11666666666667,0,2.0307779999999998,,
NousResearch/Hermes-4-405B,line_patch,1080,100.0,100.0,100.0,96.2037037037037,88.88888888888889,95.74074074074073,90.37037037037037,88.61111111111111,1.9444444444444444,2.2222222222222223,2.2222222222222223,97.77777777777777,1080,100.0,90.35493827160494,91.85185185185185,0.09166666666666666,3.2616119309707923,3522.540885448456,1640.0,85.22685185185185,957,2.047335,3.6808159722554397,0.0021393260188087774
NousResearch/Hermes-4-405B,rewrite_with_ids,1080,100.0,100.0,100.0,93.88888888888889,83.7037037037037,95.83333333333334,92.22222222222223,82.5925925925926,1.9444444444444444,0.0,0.0,100.0,1080,100.0,83.98148148148148,84.25925925925925,0.21574074074074073,4.469933670538443,4827.528364181519,1305.0,126.88796296296296,892,1.820517,5.412027314104842,0.002040938340807175
NousResearch/Hermes-4-70B,json_patch,1080,100.0,100.0,100.0,66.75925925925927,16.666666666666664,83.33333333333334,66.66666666666666,0.0,0.0,0.0,0.0,100.0,1080,0.0,16.666666666666664,16.666666666666664,0.0,3.4588910747457433,3735.602360725403,1214.0,118.8324074074074,0,0.2217812,,
NousResearch/Hermes-4-70B,line_patch,1080,100.0,100.0,100.0,80.64814814814815,73.14814814814815,91.2962962962963,77.4074074074074,68.61111111111111,1.2037037037037037,1.2037037037037037,1.2037037037037037,98.79629629629629,1080,100.0,74.72222222222223,76.29629629629629,0.07592592592592592,2.6106278781537657,2819.478108406067,1640.0,83.05277777777778,741,0.2661348,3.804963709050023,0.0003591562753036437
NousResearch/Hermes-4-70B,rewrite_with_ids,1080,100.0,100.0,100.0,76.94444444444444,82.22222222222221,96.66666666666667,95.55555555555556,74.07407407407408,1.1111111111111112,0.0,0.0,100.0,1080,100.0,82.68518518518519,83.14814814814815,0.08425925925925926,4.05233773942347,4376.524758577347,1305.0,143.0175925925926,800,0.24500560000000002,5.470655948221683,0.00030625700000000005
Qwen/Qwen3-235B-A22B-Instruct-2507,json_patch,1080,100.0,98.98148148148148,98.98148148148148,93.51851851851852,16.666666666666664,82.5,66.66666666666666,0.0,1.6666666666666667,0.0,0.0,98.98148148148148,1080,0.0,16.83816651075772,16.83816651075772,0.0,6.55583212684702,7080.2986969947815,1214.0,304.5814814814815,0,0.45959279999999997,,
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,1080,100.0,100.0,100.0,91.75925925925927,86.66666666666667,95.37037037037037,86.66666666666667,85.92592592592592,1.2962962962962963,1.3888888888888888,1.3888888888888888,98.61111111111111,1080,99.62962962962963,87.7391975308642,88.05555555555556,0.053703703703703705,3.7505950481803327,4050.6426520347595,1640.0,113.14814814814815,928,0.42756,4.364916650899525,0.00046073275862068964
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite_with_ids,1080,100.0,100.0,100.0,93.42592592592592,82.03703703703704,95.92592592592592,90.0,80.18518518518518,2.5925925925925926,0.0925925925925926,0.0,100.0,1080,100.0,82.03703703703704,82.03703703703704,0.22870370370370371,3.872275984287262,4182.058063030243,1304.0,146.12962962962962,866,0.37635599999999997,4.829166354538387,0.0004345912240184757
Qwen/Qwen3-32B,json_patch,1080,100.0,99.35185185185185,99.35185185185185,88.51851851851852,16.666666666666664,82.68518518518519,66.66666666666666,0.0,5.0,0.0,0.0,99.35185185185185,1080,0.0,16.775396085740912,16.775396085740912,0.0,5.014014642989194,5415.1358144283295,1214.0,122.05740740740741,0,0.1706586,,
